,City,Country,Temperature,Latitude,Longitude,Humidity,Cloudiness,Wind Speed,Date
303,Chippewa Falls,US,18.84,44.94,-91.39,85.0,90.0,5.82,1551489616.0
304,Mezen,RU,3.58,65.85,44.24,80.0,0.0,2.35,1551489699.0
305,Cuenca,ES,47.64,40.07,-2.13,40.0,64.0,5.7,1551489348.0
306,Port-Gentil,GA,79.81,-0.72,8.78,100.0,76.0,5.14,1551489700.0
307,Merauke,ID,80.62,-8.49,140.4,100.0,48.0,5.59,1551489700.0
308,Port Augusta,AU,97.61,-32.49,137.76,14.0,0.0,16.11,1551489340.0
309,Pachino,IT,44.01,36.72,15.09,79.0,0.0,15.01,1551489623.0
310,Pascagoula,US,65.53,30.37,-88.56,93.0,40.0,3.36,1551489680.0
311,Ambunti,PG,80.53,-4.22,142.82,89.0,56.0,2.91,1551489701.0
312,Kamenka,RU,30.99,53.19,44.05,87.0,88.0,12.41,1551488730.0
313,Komsomolskiy,RU,1.87,67.55,63.78,75.0,64.0,10.74,1551489212.0
316,Verkhnevilyuysk,RU,6.23,63.45,120.31,79.0,64.0,3.36,1551489703.0
317,Barcelos,PT,53.26,41.53,-8.62,100.0,75.0,2.35,1551489424.0
318,Presidente Medici,BR,76.25,-11.18,-61.9,91.0,24.0,2.13,1551489467.0
319,Kutum,SD,60.41,14.2,24.66,22.0,0.0,9.28,1551489703.0
320,Maceio,BR,78.8,-9.67,-35.74,83.0,20.0,4.7,1551488400.0
321,Pilar,AR,79.88,-34.46,-58.91,61.0,0.0,4.7,1551489008.0
322,El Bosque,MX,86.0,17.06,-92.72,51.0,5.0,13.87,1551483840.0
323,Salalah,OM,77.0,17.01,54.1,78.0,0.0,1.12,1551484200.0
324,Sistranda,NO,37.24,63.73,8.83,93.0,75.0,29.97,1551489574.0
325,Atar,MR,60.73,20.52,-13.05,19.0,0.0,9.62,1551489705.0
326,Swan River,CA,3.04,52.11,-101.27,71.0,44.0,4.14,1551489705.0
327,Dingle,PH,75.22,11.0,122.67,81.0,24.0,11.07,1551489705.0
328,Imeni Poliny Osipenko,RU,7.36,52.42,136.49,60.0,0.0,2.8,1551489705.0
329,Isilkul,RU,16.31,54.9,71.26,80.0,68.0,8.5,1551489705.0
330,Sangin,AF,50.96,32.07,64.85,98.0,92.0,12.75,1551489706.0
331,Creel,MX,66.4,27.75,-107.63,29.0,0.0,4.92,1551489708.0
333,Gloversville,US,26.73,43.05,-74.34,63.0,1.0,3.36,1551489534.0
334,Zeya,RU,4.43,53.74,127.27,65.0,20.0,1.79,1551489709.0
335,Nkawkaw,GH,73.91,6.55,-0.77,68.0,32.0,2.91,1551489710.0
336,Qasigiannguit,GL,35.6,68.82,-51.19,37.0,24.0,19.46,1551487800.0
337,Saldanha,PT,43.4,41.42,-6.55,89.0,8.0,6.15,1551489710.0
338,Pauini,BR,78.23,-7.71,-67.0,89.0,80.0,3.02,1551489710.0
339,Innisfail,CA,-8.52,52.02,-113.95,63.0,5.0,5.82,1551489316.0
340,Margate,AU,95.04,-43.03,147.26,16.0,0.0,12.75,1551489235.0
341,Fevik,NO,27.52,58.38,8.68,100.0,0.0,2.24,1551489605.0
342,Opuwo,NA,64.33,-18.06,13.84,90.0,0.0,2.91,1551489711.0
343,Byron Bay,AU,75.25,-28.65,153.62,78.0,75.0,13.87,1551489216.0
344,Los Llanos de Aridane,ES,59.83,28.66,-17.92,63.0,90.0,9.17,1551489455.0
345,Port Blair,IN,81.2,11.67,92.75,100.0,12.0,9.73,1551489712.0
346,Porto Walter,BR,76.43,-8.27,-72.74,88.0,8.0,2.13,1551489714.0
347,Itarsi,IN,54.88,22.61,77.76,49.0,0.0,8.39,1551489714.0
348,Jutai,BR,74.68,-1.71,-47.89,96.0,92.0,2.57,1551489714.0
349,Tacoronte,ES,58.12,28.48,-16.41,76.0,80.0,8.05,1551489683.0
350,Colares,PT,56.16,38.8,-9.45,93.0,75.0,13.87,1551489637.0
351,Marfino,RU,17.67,56.07,37.56,85.0,0.0,13.42,1551488739.0
352,Akdepe,TM,40.24,42.05,59.39,93.0,75.0,4.7,1551486600.0
353,Sandusky,US,25.65,41.45,-82.71,73.0,20.0,8.05,1551489664.0
354,Itarema,BR,76.7,-2.92,-39.92,92.0,24.0,5.37,1551489716.0
355,Vila Velha,BR,81.59,-3.71,-38.6,83.0,20.0,4.7,1551489489.0
356,Bathsheba,BB,78.8,13.22,-59.52,69.0,40.0,24.16,1551484800.0
358,Mount Gambier,AU,93.2,-37.83,140.78,17.0,0.0,14.99,1551484800.0
359,Saskylakh,RU,-27.97,71.97,114.09,43.0,8.0,3.36,1551489676.0
360,Biltine,TD,74.36,14.53,20.93,20.0,0.0,13.76,1551489717.0
361,Changji,CN,41.74,32.07,116.17,100.0,92.0,8.61,1551489717.0
363,Ereymentau,KZ,11.9,51.62,73.1,71.0,76.0,2.91,1551489535.0
364,Chimbote,PE,74.0,-9.08,-78.59,83.0,64.0,5.14,1551489576.0
365,Burgeo,CA,24.82,47.61,-57.61,100.0,24.0,38.14,1551489655.0
366,Masterton,NZ,67.48,-40.95,175.66,58.0,56.0,4.0,1551489604.0
367,Montepuez,MZ,69.1,-13.13,39.0,94.0,0.0,2.91,1551489720.0
369,Amapa,HN,78.33,15.09,-87.97,74.0,20.0,12.75,1551489637.0
370,Seoul,KR,36.63,37.57,126.98,69.0,40.0,5.82,1551486600.0
371,Bloemfontein,ZA,55.4,-29.12,26.22,71.0,0.0,2.24,1551488400.0
372,Churachandpur,IN,39.22,24.33,93.67,78.0,0.0,0.56,1551489722.0
373,Englehart,CA,21.2,47.82,-79.87,85.0,90.0,10.29,1551489120.0
374,Zarubino,RU,35.21,42.65,131.06,84.0,0.0,2.13,1551489723.0
376,Belyy Yar,RU,21.2,53.6,91.39,92.0,0.0,1.68,1551486600.0
377,Otane,NZ,64.99,-39.89,176.62,64.0,8.0,1.01,1551488716.0
378,Yar-Sale,RU,-5.25,66.83,70.83,81.0,36.0,2.8,1551489724.0
379,Kenai,US,33.42,60.55,-151.26,47.0,1.0,3.36,1551489424.0
380,Mwene-Ditu,CD,72.11,-7.01,23.45,90.0,76.0,4.81,1551489724.0
381,Lappeenranta,FI,18.55,61.06,28.19,72.0,90.0,8.05,1551489700.0
382,Napoleon,US,-0.41,46.5,-99.77,84.0,20.0,4.47,1551489300.0
383,Alindao,CF,68.83,5.04,21.21,98.0,68.0,1.34,1551489725.0
384,Kidal,ML,56.36,18.44,1.41,31.0,0.0,11.74,1551489725.0
385,Mattru,SL,78.5,7.62,-11.83,64.0,0.0,6.15,1551489725.0
386,Georgetown,GY,77.63,6.8,-58.16,78.0,20.0,11.41,1551484800.0
387,Lata,IN,35.44,30.78,78.62,69.0,88.0,2.35,1551489726.0
388,Fort Nelson,CA,-0.41,58.81,-122.69,49.0,5.0,5.82,1551488400.0
390,Kavaratti,IN,81.79,10.57,72.64,100.0,0.0,2.57,1551489727.0
391,Sobolevo,RU,18.07,54.43,31.9,78.0,88.0,15.66,1551489728.0
392,Kirakira,SB,82.51,-10.46,161.92,100.0,0.0,3.91,1551489728.0
394,Natal,BR,79.68,-5.81,-35.21,83.0,40.0,6.93,1551488400.0
395,Egvekinot,RU,23.06,66.32,-179.17,90.0,80.0,12.75,1551489728.0
397,Cap Malheureux,MU,80.29,-19.98,57.61,83.0,40.0,6.93,1551489540.0
398,Tuam,IE,41.36,53.52,-8.85,95.0,0.0,5.37,1551489491.0
399,Henties Bay,NA,66.0,-22.12,14.28,85.0,36.0,1.01,1551488533.0
401,Auki,NG,76.39,12.18,6.51,27.0,88.0,8.05,1551489730.0
402,Kindu,CD,70.99,-2.95,25.92,98.0,48.0,0.67,1551489730.0
403,Borogontsy,RU,-16.41,62.67,131.17,70.0,20.0,3.13,1551489730.0
404,Klyuchi,RU,14.92,52.25,79.17,75.0,76.0,2.91,1551489731.0
405,Mnogovershinnyy,RU,5.74,53.94,139.92,72.0,0.0,2.57,1551489731.0
406,Northam,GB,49.28,51.04,-4.21,100.0,75.0,11.41,1551489648.0
407,Peleduy,RU,9.38,59.63,112.75,73.0,32.0,2.46,1551489732.0
408,Changtu,CN,36.61,42.78,124.11,39.0,0.0,11.41,1551489732.0
409,Praia da Vitoria,PT,60.44,38.73,-27.07,82.0,40.0,22.48,1551489339.0
411,Saint George,GR,47.52,39.45,22.34,75.0,40.0,4.14,1551489216.0
412,Totma,RU,8.98,59.98,42.76,82.0,64.0,5.48,1551489733.0
413,Santa Marta,CO,86.0,11.24,-74.21,58.0,75.0,13.87,1551484800.0
414,Leningradskiy,RU,18.83,69.38,178.42,77.0,0.0,20.02,1551489723.0
415,Mumford,GH,79.36,5.26,-0.76,88.0,44.0,8.39,1551489257.0
416,Vila do Maio,CV,68.0,15.13,-23.22,64.0,0.0,23.04,1551488400.0
417,Viedma,AR,59.83,-40.81,-62.99,77.0,68.0,19.69,1551489508.0
418,Beisfjord,NO,19.9,68.38,17.6,92.0,88.0,12.75,1551489431.0
419,Quimper,FR,51.04,48.0,-4.1,93.0,90.0,11.41,1551489725.0
420,Yerbogachen,RU,9.07,61.28,108.01,81.0,64.0,4.7,1551489658.0
422,Bilibino,RU,-6.24,68.06,166.44,67.0,56.0,3.24,1551489706.0
423,Kon Tum,VN,60.91,14.36,108.0,91.0,12.0,2.35,1551489735.0
424,Zabol,IR,55.4,31.03,61.49,82.0,75.0,20.8,1551484800.0
425,Casas Grandes,MX,76.48,30.15,-110.24,16.0,0.0,3.13,1551489735.0
426,Chepareria,KE,49.3,1.32,35.2,80.0,0.0,0.67,1551489736.0
427,Hobyo,SO,76.66,5.35,48.53,93.0,80.0,10.18,1551489736.0
428,Nalut,LY,41.51,31.86,10.98,71.0,0.0,5.59,1551489736.0
429,Severobaykalsk,RU,4.12,55.65,109.32,62.0,24.0,1.57,1551489736.0
430,Mocuba,MZ,78.01,-16.84,36.99,86.0,76.0,3.69,1551489736.0
431,Lhokseumawe,ID,81.79,5.18,97.15,100.0,12.0,3.69,1551489737.0
432,Saint-Augustin,FR,48.04,44.83,-0.61,93.0,90.0,5.82,1551489668.0
433,Nouadhibou,MR,64.4,20.93,-17.03,72.0,0.0,17.22,1551488400.0
434,Banjar,ID,72.34,-7.37,108.54,95.0,44.0,2.68,1551489737.0
435,Vinh,VN,70.76,18.67,105.69,92.0,56.0,2.01,1551489541.0
436,Port Hueneme,US,57.18,34.15,-119.2,72.0,90.0,8.05,1551489737.0
437,Flinders,AU,77.16,-34.58,150.85,73.0,75.0,6.93,1551489656.0
438,Ardmore,US,44.67,34.99,-86.85,87.0,90.0,4.7,1551489527.0
439,Bozhou,CN,40.57,33.86,115.78,95.0,88.0,7.83,1551489738.0
440,Garhshankar,IN,47.63,31.22,76.14,72.0,92.0,3.36,1551489738.0
441,Isangel,VU,84.2,-19.55,169.27,70.0,75.0,11.41,1551484800.0
442,Luanda,AO,78.8,-8.83,13.24,88.0,75.0,4.7,1551484800.0
443,Vostochnyy,RU,18.21,55.82,37.87,85.0,0.0,13.42,1551488739.0
444,Quartucciu,IT,54.91,39.25,9.18,66.0,20.0,9.17,1551489306.0
445,Coahuayana,MX,85.39,18.62,-100.35,28.0,0.0,2.91,1551489739.0
447,Batagay,RU,-26.8,67.65,134.64,40.0,64.0,2.91,1551489739.0
448,Gambela,ET,62.66,8.25,34.59,84.0,56.0,3.69,1551489739.0
449,Sao Felix do Xingu,BR,74.05,-6.64,-51.99,94.0,88.0,2.91,1551489739.0
450,Guerrero Negro,MX,65.41,27.97,-114.04,67.0,48.0,11.41,1551489740.0
451,Alamosa,US,39.4,37.47,-105.87,52.0,1.0,14.99,1551489516.0
452,Vao,EE,12.31,59.1,26.19,84.0,32.0,5.93,1551489740.0
453,Tabuk,PH,64.33,17.41,121.44,86.0,0.0,2.13,1551489741.0
454,Shahreza,IR,9.79,32.01,51.87,76.0,0.0,2.68,1551489741.0
455,Pevek,RU,-0.03,69.7,170.27,95.0,64.0,4.14,1551489649.0
456,Kavieng,PG,83.9,-2.57,150.8,100.0,32.0,4.59,1551489732.0
457,Deputatskiy,RU,-20.55,69.3,139.9,55.0,48.0,2.8,1551489741.0
458,Coihaique,CL,56.93,-45.58,-72.07,58.0,40.0,6.93,1551484800.0
460,Tutoia,BR,79.18,-2.76,-42.27,85.0,92.0,7.61,1551489742.0
461,Luderitz,NA,63.38,-26.65,15.16,75.0,0.0,18.01,1551489725.0
462,Mercedes,UY,75.67,-33.25,-58.03,58.0,0.0,11.74,1551489713.0
463,Ancud,CL,55.4,-41.87,-73.83,76.0,20.0,8.05,1551484800.0
464,Erenhot,CN,12.53,43.65,111.97,65.0,0.0,4.92,1551489743.0
465,Todireni,RO,35.08,47.62,27.11,80.0,0.0,10.29,1551489320.0
466,Vardo,US,32.0,39.62,-77.74,80.0,90.0,6.93,1551489697.0
467,Caibarien,CU,75.2,22.52,-79.47,69.0,40.0,5.82,1551484380.0
468,Broome,GB,44.01,52.47,1.45,93.0,88.0,8.05,1551489739.0
469,Nanortalik,GL,32.47,60.14,-45.24,90.0,68.0,12.64,1551489744.0
470,Lorengau,PG,83.81,-2.02,147.27,95.0,68.0,6.71,1551489280.0
471,Sangar,RU,-20.32,63.92,127.47,57.0,0.0,1.68,1551489745.0
472,Bandarbeyla,SO,76.61,9.49,50.81,100.0,24.0,7.94,1551489745.0
473,Chifeng,CN,32.33,42.27,118.96,71.0,0.0,6.6,1551489745.0
474,Lakatoro,VU,77.65,-16.11,167.42,100.0,92.0,6.71,1551489746.0
475,Archidona,EC,61.72,-0.91,-77.81,95.0,68.0,2.91,1551489746.0
476,Bonthe,SL,78.19,7.53,-12.5,82.0,8.0,4.47,1551489460.0
477,Kisangani,CD,73.6,0.52,25.21,96.0,76.0,2.24,1551489736.0
478,Baruun-Urt,MN,13.66,46.68,113.28,71.0,8.0,3.36,1551489746.0
479,Rantepao,ID,69.55,-2.97,119.9,100.0,80.0,2.13,1551489747.0
480,Lagunillas,VE,66.94,8.5,-71.39,67.0,88.0,0.34,1551489747.0
481,Prainha,BR,76.57,-1.8,-53.48,92.0,44.0,4.81,1551489747.0
483,Killybegs,IE,39.0,54.63,-8.45,97.0,64.0,1.99,1551489727.0
484,Najran,SA,68.0,17.54,44.22,32.0,5.0,4.81,1551484800.0
485,Maroantsetra,MG,73.33,-15.43,49.74,100.0,92.0,2.91,1551489748.0
486,Aquiraz,BR,81.61,-3.9,-38.39,83.0,20.0,4.7,1551489489.0
488,Baykit,RU,10.91,61.68,96.39,79.0,68.0,2.68,1551489748.0
489,Anloga,GH,77.0,5.79,0.9,88.0,20.0,1.12,1551484800.0
490,Vestmanna,FO,44.6,62.16,-7.17,100.0,92.0,13.87,1551487800.0
491,Muros,ES,53.37,42.77,-9.06,93.0,75.0,4.7,1551489692.0
492,Padang,ID,75.2,-0.92,100.36,100.0,40.0,2.24,1551484800.0
493,Gashua,NG,80.26,12.87,11.04,56.0,68.0,2.8,1551489750.0
495,Komatipoort,MZ,73.47,-25.43,31.96,94.0,92.0,3.8,1551489421.0
496,Predivinsk,RU,23.83,57.07,93.44,86.0,68.0,2.57,1551489751.0
497,Aitape,PG,82.1,-3.15,142.36,91.0,64.0,5.93,1551489751.0
498,Pryazha,RU,14.0,61.69,33.62,78.0,48.0,4.47,1551484800.0
499,Faqirwali,PK,60.1,29.47,73.04,56.0,48.0,12.08,1551489751.0
500,Makakilo City,US,72.19,21.35,-158.09,53.0,90.0,8.05,1551489631.0
501,Avanigadda,IN,75.2,16.02,80.92,94.0,12.0,6.38,1551486600.0
502,Ambovombe,MG,77.56,-25.18,46.09,96.0,44.0,2.01,1551489752.0
503,Inuvik,CA,-1.14,68.36,-133.71,49.0,5.0,5.82,1551488400.0
504,Mimongo,GA,70.54,-1.62,11.6,98.0,92.0,0.34,1551489752.0
505,Chute-aux-Outardes,CA,19.11,49.12,-68.38,72.0,1.0,11.41,1551489465.0
506,Uromi,NG,76.3,6.71,6.33,92.0,68.0,4.92,1551489753.0
507,Hovd,NO,36.03,63.83,10.7,80.0,75.0,27.51,1551489601.0
509,Young,UY,75.0,-32.7,-57.63,63.0,0.0,10.07,1551489131.0
510,Havelock,US,56.12,34.88,-76.9,100.0,90.0,8.05,1551489682.0
511,Clyde River,CA,3.2,70.47,-68.59,65.0,1.0,18.34,1551488400.0
512,Zuenoula,CI,73.01,7.43,-6.04,33.0,12.0,5.93,1551489754.0
513,Port Hardy,CA,42.8,50.7,-127.42,76.0,20.0,3.36,1551488400.0
514,Ballina,IE,40.78,54.11,-9.15,97.0,12.0,1.99,1551489727.0
515,Vigrestad,NO,33.8,58.57,5.7,80.0,40.0,8.05,1551489409.0
516,Baherden,TM,37.1,38.44,57.43,92.0,12.0,2.46,1551489755.0
517,Iralaya,HN,78.8,15.0,-83.23,78.0,40.0,10.29,1551484800.0
518,Flin Flon,CA,-7.61,54.77,-101.88,63.0,90.0,8.05,1551484800.0
519,Copiapo,CL,64.4,-27.37,-70.33,77.0,90.0,11.41,1551484800.0
520,Knevichi,RU,30.2,43.4,132.19,46.0,0.0,2.24,1551486600.0
521,Port Hedland,AU,91.4,-20.31,118.58,55.0,48.0,8.05,1551486600.0
522,Nanga Eboko,CM,76.84,4.68,12.37,56.0,80.0,7.27,1551489756.0
524,Kaliua,TZ,63.34,-5.06,31.79,94.0,48.0,2.35,1551489756.0
525,San Patricio,PY,68.78,-26.98,-56.83,76.0,0.0,2.68,1551489758.0
526,Torbat-e Jam,IR,38.81,35.24,60.63,96.0,92.0,2.91,1551489466.0
527,Yagodnoye,RU,-6.24,62.52,149.63,64.0,48.0,2.46,1551489759.0
528,Goderich,CA,22.26,43.74,-81.71,73.0,24.0,3.0,1551489539.0
529,Ixtapa,MX,76.15,20.71,-105.21,78.0,5.0,11.41,1551489022.0
530,Polazna,RU,28.4,58.29,56.41,86.0,0.0,6.71,1551486600.0
531,Kalangala,UG,71.6,-0.32,32.29,83.0,20.0,4.7,1551488400.0
532,Salmon Creek,US,47.28,45.71,-122.66,52.0,20.0,10.29,1551489751.0
533,Nago,IT,39.58,45.88,10.89,93.0,0.0,1.12,1551489748.0
536,Sao Joao de Pirabas,BR,78.05,-0.77,-47.18,100.0,92.0,8.72,1551489763.0
537,Birao,CF,71.89,10.3,22.78,35.0,0.0,7.83,1551489765.0
538,Saint-Georges,CA,13.03,46.12,-70.67,71.0,0.0,4.03,1551489424.0
539,Xalatlaco,MX,76.01,19.18,-99.41,11.0,5.0,6.93,1551489185.0
540,Ostersund,SE,32.0,63.18,14.64,73.0,64.0,11.41,1551489696.0
541,Lufilufi,WS,89.26,-13.87,-171.6,70.0,75.0,9.17,1551486784.0
542,Kaoma,ZM,67.84,-14.8,24.8,73.0,20.0,3.58,1551489766.0
543,Colonia,RO,41.97,46.6,23.97,75.0,90.0,9.17,1551488400.0
544,Katubao,PH,82.4,5.89,124.83,61.0,20.0,9.17,1551484800.0
545,Hamilton,BM,65.44,32.3,-64.78,88.0,75.0,6.93,1551489522.0
546,Juybar,IR,44.6,36.64,52.91,100.0,40.0,2.24,1551484800.0
547,Mecca,SA,51.82,21.43,39.83,78.0,20.0,4.36,1551489252.0
548,Paraiso,MX,75.81,24.01,-104.61,11.0,5.0,17.22,1551489615.0
549,Palu,ID,68.92,-0.9,119.87,87.0,0.0,1.9,1551489768.0
550,Tsumeb,NA,69.64,-19.25,17.72,60.0,0.0,4.59,1551489768.0
551,Chiang Klang,TH,66.2,19.29,100.86,100.0,20.0,2.24,1551484800.0
552,Yumen,CN,15.91,40.29,97.04,60.0,0.0,5.14,1551489769.0
553,Orlik,RU,-7.41,52.51,99.83,48.0,0.0,2.24,1551489769.0
554,Aklavik,CA,-0.57,68.22,-135.01,49.0,5.0,5.82,1551488400.0
555,Vilyuysk,RU,4.3,63.75,121.63,78.0,76.0,3.69,1551489771.0
556,Pingliang,CN,29.81,35.54,106.68,94.0,92.0,2.91,1551489771.0
558,Alghero,IT,57.2,40.56,8.32,67.0,0.0,10.29,1551487800.0
559,Muana,BR,75.8,-1.53,-49.22,100.0,56.0,3.24,1551489630.0
560,Mairana,BO,61.13,-18.12,-63.96,94.0,36.0,2.57,1551489772.0
561,Gravdal,NO,32.72,59.79,5.78,100.0,48.0,8.05,1551489727.0
562,Lensk,RU,12.76,60.71,114.91,80.0,56.0,2.68,1551489772.0
564,Susanville,US,39.34,40.42,-120.65,70.0,90.0,8.05,1551489748.0
565,Luganville,VU,79.18,-15.51,167.18,100.0,92.0,6.49,1551489772.0
566,Lagoa,PT,54.59,37.14,-8.45,87.0,20.0,10.29,1551489128.0
567,Umm Kaddadah,SD,64.96,13.6,26.69,16.0,0.0,9.62,1551489773.0
568,Kysyl-Syr,RU,-5.02,63.9,122.77,80.0,44.0,3.69,1551489773.0
569,Magadan,RU,5.96,59.56,150.8,100.0,0.0,11.86,1551489773.0
570,Novyy Urgal,RU,5.38,51.07,132.56,56.0,0.0,2.68,1551489773.0
571,Pangai,TO,86.0,-19.8,-174.35,84.0,20.0,10.29,1551484800.0
572,Solwezi,ZM,62.89,-12.18,26.4,95.0,64.0,3.47,1551489774.0
573,Palmer,AU,97.84,-34.85,139.16,12.0,0.0,19.46,1551489619.0
575,Reconquista,AR,75.76,-29.14,-59.64,52.0,0.0,6.93,1551489775.0
576,Barabai,ID,74.59,-2.59,115.38,97.0,92.0,2.8,1551489775.0
577,Prokuplje,RS,41.0,43.23,21.59,75.0,75.0,1.12,1551486600.0
578,Dakoro,NE,68.51,14.51,6.76,33.0,88.0,8.61,1551489776.0
579,Nalagarh,IN,45.65,31.04,76.72,52.0,80.0,3.36,1551489776.0
580,Sabla,NG,72.43,12.75,4.71,51.0,56.0,3.36,1551489776.0
581,Adra,IN,47.81,23.5,86.68,84.0,0.0,2.91,1551489776.0
582,Waingapu,ID,77.92,-9.65,120.26,94.0,20.0,4.14,1551489777.0
583,Shuyskoye,RU,8.48,59.37,41.03,77.0,64.0,5.03,1551489777.0
584,Tambovka,UA,33.01,46.93,35.45,78.0,56.0,10.96,1551489777.0
585,Alice Springs,AU,93.2,-23.7,133.88,23.0,0.0,16.11,1551486600.0
586,Aldan,RU,14.65,58.61,125.39,87.0,64.0,2.68,1551489777.0
587,Sorong,ID,80.75,-0.86,131.25,100.0,64.0,8.28,1551489778.0
588,Olot,UZ,50.0,39.42,63.81,81.0,20.0,6.93,1551486600.0
590,Namatanai,PG,84.4,-3.66,152.44,94.0,0.0,8.72,1551489778.0
591,Puerto Escondido,MX,82.06,15.86,-97.07,100.0,0.0,7.61,1551489778.0
592,Guilin,CN,48.2,25.28,110.29,93.0,90.0,6.71,1551484800.0
593,Urucui,BR,73.28,-7.23,-44.56,94.0,80.0,2.91,1551489779.0
594,Ushtobe,KZ,23.51,45.25,77.98,70.0,92.0,2.68,1551489783.0
595,Kieta,PG,82.06,-6.22,155.63,98.0,20.0,3.13,1551489783.0
596,Villaviciosa,ES,51.75,43.48,-5.43,93.0,44.0,3.36,1551489651.0
597,Lishu,CN,34.99,43.31,124.32,39.0,0.0,16.33,1551489784.0
